step,train_loss,val_loss,lr,wall_dt_s,wall_cum_s,tokens_step,tokens_cum,h_mean,hY_mean,xi_mean,rX,rP,c_log_mean,c_lin_mean,leak_warnings,sched_t_start,sched_t_end
0,10.835681,,0.00000000e+00,5.919411,5.919408,49152,49152,0.0,,0.0,0.0,0.0,,,,,
100,,9.629327,2.00000000e-04,,136.519320,49152,4964352,0.0,,0.0,0.0,0.0,,,,,
200,7.249782,,2.99988559e-04,284.789705,290.709110,49152,9879552,0.0,,0.0,0.0,0.0,,,,,
200,,7.208211,2.99988559e-04,,290.709110,49152,9879552,0.0,,0.0,0.0,0.0,,,,,
300,,5.950143,2.99897044e-04,,423.341879,49152,14794752,0.0,,0.0,0.0,0.0,,,,,
400,5.168644,,2.99714108e-04,264.437256,555.146371,49152,19709952,0.0,,0.0,0.0,0.0,,,,,
400,,5.141330,2.99714108e-04,,555.146371,49152,19709952,0.0,,0.0,0.0,0.0,,,,,
500,,4.620595,2.99439937e-04,,687.618600,49152,24625152,0.0,,0.0,0.0,0.0,,,,,
600,4.283996,,2.99074810e-04,264.983762,820.130133,49152,29540352,0.0,,0.0,0.0,0.0,,,,,
600,,4.322757,2.99074810e-04,,820.130133,49152,29540352,0.0,,0.0,0.0,0.0,,,,,
700,,4.170957,2.98619097e-04,,952.901582,49152,34455552,0.0,,0.0,0.0,0.0,,,,,
800,3.942574,,2.98073262e-04,265.445986,1085.576120,49152,39370752,0.0,,0.0,0.0,0.0,,,,,
800,,4.028141,2.98073262e-04,,1085.576120,49152,39370752,0.0,,0.0,0.0,0.0,,,,,
900,,3.949536,2.97437861e-04,,1218.404667,49152,44285952,0.0,,0.0,0.0,0.0,,,,,
1000,3.867853,,2.96713539e-04,264.704963,1350.281083,49152,49201152,0.0,,0.0,0.0,0.0,,,,,
1000,,3.876828,2.96713539e-04,,1350.281083,49152,49201152,0.0,,0.0,0.0,0.0,,,,,
1100,,3.796663,2.95901034e-04,,1483.050544,49152,54116352,0.0,,0.0,0.0,0.0,,,,,
1200,3.736891,,2.95001170e-04,265.546391,1615.827474,49152,59031552,0.0,,0.0,0.0,0.0,,,,,
1200,,3.686886,2.95001170e-04,,1615.827474,49152,59031552,0.0,,0.0,0.0,0.0,,,,,
1300,,3.675161,2.94014865e-04,,1748.747259,49152,63946752,0.0,,0.0,0.0,0.0,,,,,
1400,3.614567,,2.92943120e-04,265.117620,1880.945094,49152,68861952,0.0,,0.0,0.0,0.0,,,,,
1400,,3.618787,2.92943120e-04,,1880.945094,49152,68861952,0.0,,0.0,0.0,0.0,,,,,
1500,,3.536364,2.91787025e-04,,2013.778665,49152,73777152,0.0,,0.0,0.0,0.0,,,,,
1600,3.486558,,2.90547756e-04,264.774100,2145.719195,49152,78692352,0.0,,0.0,0.0,0.0,,,,,
1600,,3.510425,2.90547756e-04,,2145.719195,49152,78692352,0.0,,0.0,0.0,0.0,,,,,
1700,,3.417790,2.89226574e-04,,2278.515958,49152,83607552,0.0,,0.0,0.0,0.0,,,,,
1800,3.420548,,2.87824822e-04,264.871567,2410.590762,49152,88522752,0.0,,0.0,0.0,0.0,,,,,
1800,,3.316730,2.87824822e-04,,2410.590762,49152,88522752,0.0,,0.0,0.0,0.0,,,,,
1900,,3.307729,2.86343926e-04,,2542.902635,49152,93437952,0.0,,0.0,0.0,0.0,,,,,
2000,3.277964,,2.84785391e-04,264.392923,2674.983685,49152,98353152,0.0,,0.0,0.0,0.0,,,,,
2000,,3.315519,2.84785391e-04,,2674.983685,49152,98353152,0.0,,0.0,0.0,0.0,,,,,
2100,,3.216861,2.83150803e-04,,2807.708004,49152,103268352,0.0,,0.0,0.0,0.0,,,,,
2200,3.216332,,2.81441823e-04,265.568369,2940.552055,49152,108183552,0.0,,0.0,0.0,0.0,,,,,
2200,,3.231334,2.81441823e-04,,2940.552055,49152,108183552,0.0,,0.0,0.0,0.0,,,,,
2300,,3.198674,2.79660190e-04,,3072.535698,49152,113098752,0.0,,0.0,0.0,0.0,,,,,
2400,3.182435,,2.77807716e-04,264.779148,3205.331203,49152,118013952,0.0,,0.0,0.0,0.0,,,,,
2400,,3.125050,2.77807716e-04,,3205.331203,49152,118013952,0.0,,0.0,0.0,0.0,,,,,
2500,,3.120991,2.75886285e-04,,3337.667853,49152,122929152,0.0,,0.0,0.0,0.0,,,,,
2600,3.116546,,2.73897850e-04,264.715002,3470.046204,49152,127844352,0.0,,0.0,0.0,0.0,,,,,
2600,,3.076742,2.73897850e-04,,3470.046204,49152,127844352,0.0,,0.0,0.0,0.0,,,,,
2700,,3.137493,2.71844433e-04,,3602.423128,49152,132759552,0.0,,0.0,0.0,0.0,,,,,
2800,3.033195,,2.69728124e-04,264.729901,3734.776106,49152,137674752,0.0,,0.0,0.0,0.0,,,,,
2800,,3.074810,2.69728124e-04,,3734.776106,49152,137674752,0.0,,0.0,0.0,0.0,,,,,
2900,,3.055614,2.67551073e-04,,3867.605683,49152,142589952,0.0,,0.0,0.0,0.0,,,,,
3000,3.008635,,2.65315496e-04,265.304562,4000.080668,49152,147505152,0.0,,0.0,0.0,0.0,,,,,
3000,,3.055429,2.65315496e-04,,4000.080668,49152,147505152,0.0,,0.0,0.0,0.0,,,,,
3100,,3.000764,2.63023665e-04,,4132.973949,49152,152420352,0.0,,0.0,0.0,0.0,,,,,
3200,2.926859,,2.60677912e-04,265.703093,4265.783761,49152,157335552,0.0,,0.0,0.0,0.0,,,,,
3200,,2.885177,2.60677912e-04,,4265.783761,49152,157335552,0.0,,0.0,0.0,0.0,,,,,
3300,,2.949199,2.58280621e-04,,4398.546772,49152,162250752,0.0,,0.0,0.0,0.0,,,,,
3400,2.880305,,2.55834231e-04,265.030528,4530.814289,49152,167165952,0.0,,0.0,0.0,0.0,,,,,
3400,,2.913061,2.55834231e-04,,4530.814289,49152,167165952,0.0,,0.0,0.0,0.0,,,,,
3500,,2.865367,2.53341230e-04,,4663.513220,49152,172081152,0.0,,0.0,0.0,0.0,,,,,
3600,2.841108,,2.50804152e-04,264.783080,4795.597369,49152,176996352,0.0,,0.0,0.0,0.0,,,,,
3600,,2.875986,2.50804152e-04,,4795.597369,49152,176996352,0.0,,0.0,0.0,0.0,,,,,
3700,,2.862960,2.48225578e-04,,4927.436720,49152,181911552,0.0,,0.0,0.0,0.0,,,,,
3800,2.886217,,2.45608131e-04,264.184888,5059.782257,49152,186826752,0.0,,0.0,0.0,0.0,,,,,
3800,,2.841150,2.45608131e-04,,5059.782257,49152,186826752,0.0,,0.0,0.0,0.0,,,,,
3900,,2.794744,2.42954472e-04,,5192.015174,49152,191741952,0.0,,0.0,0.0,0.0,,,,,
4000,2.818839,,2.40267299e-04,264.953396,5324.735653,49152,196657152,0.0,,0.0,0.0,0.0,,,,,
4000,,2.846652,2.40267299e-04,,5324.735653,49152,196657152,0.0,,0.0,0.0,0.0,,,,,
4100,,2.789667,2.37549346e-04,,5457.085736,49152,201572352,0.0,,0.0,0.0,0.0,,,,,
4200,2.822296,,2.34803377e-04,265.251438,5589.987092,49152,206487552,0.0,,0.0,0.0,0.0,,,,,
4200,,2.834369,2.34803377e-04,,5589.987092,49152,206487552,0.0,,0.0,0.0,0.0,,,,,
4300,,2.731956,2.32032183e-04,,5722.701015,49152,211402752,0.0,,0.0,0.0,0.0,,,,,
4400,2.758810,,2.29238584e-04,265.553585,5855.540677,49152,216317952,0.0,,0.0,0.0,0.0,,,,,
4400,,2.780355,2.29238584e-04,,5855.540677,49152,216317952,0.0,,0.0,0.0,0.0,,,,,
4500,,2.760962,2.26425420e-04,,5988.246850,49152,221233152,0.0,,0.0,0.0,0.0,,,,,
4600,2.738846,,2.23595552e-04,265.059204,6120.599881,49152,226148352,0.0,,0.0,0.0,0.0,,,,,
4600,,2.744869,2.23595552e-04,,6120.599881,49152,226148352,0.0,,0.0,0.0,0.0,,,,,
4700,,2.753475,2.20751858e-04,,6253.274035,49152,231063552,0.0,,0.0,0.0,0.0,,,,,
4800,2.746775,,2.17897230e-04,264.729039,6385.328920,49152,235978752,0.0,,0.0,0.0,0.0,,,,,
4800,,2.697318,2.17897230e-04,,6385.328920,49152,235978752,0.0,,0.0,0.0,0.0,,,,,
4900,,2.747571,2.15034570e-04,,6517.784709,49152,240893952,0.0,,0.0,0.0,0.0,,,,,
5000,2.748362,,2.12166791e-04,265.135192,6650.464112,49152,245809152,0.0,,0.0,0.0,0.0,,,,,
5000,,2.759128,2.12166791e-04,,6650.464112,49152,245809152,0.0,,0.0,0.0,0.0,,,,,
5100,,2.654593,2.09296808e-04,,6782.942720,49152,250724352,0.0,,0.0,0.0,0.0,,,,,
5200,2.708981,,2.06427541e-04,265.080144,6915.544256,49152,255639552,0.0,,0.0,0.0,0.0,,,,,
5200,,2.710143,2.06427541e-04,,6915.544256,49152,255639552,0.0,,0.0,0.0,0.0,,,,,
5300,,2.724891,2.03561906e-04,,7048.272853,49152,260554752,0.0,,0.0,0.0,0.0,,,,,
5400,2.706864,,2.00702819e-04,265.081685,7180.625942,49152,265469952,0.0,,0.0,0.0,0.0,,,,,
5400,,2.659600,2.00702819e-04,,7180.625942,49152,265469952,0.0,,0.0,0.0,0.0,,,,,
5500,,2.663926,1.97853186e-04,,7312.984296,49152,270385152,0.0,,0.0,0.0,0.0,,,,,
5600,2.652386,,1.95015906e-04,264.354341,7444.980283,49152,275300352,0.0,,0.0,0.0,0.0,,,,,
5600,,2.661094,1.95015906e-04,,7444.980283,49152,275300352,0.0,,0.0,0.0,0.0,,,,,
5700,,2.655349,1.92193864e-04,,7577.027427,49152,280215552,0.0,,0.0,0.0,0.0,,,,,
5800,2.672551,,1.89389931e-04,264.720075,7709.700358,49152,285130752,0.0,,0.0,0.0,0.0,,,,,
5800,,2.601395,1.89389931e-04,,7709.700358,49152,285130752,0.0,,0.0,0.0,0.0,,,,,
5900,,2.616802,1.86606957e-04,,7842.560929,49152,290045952,0.0,,0.0,0.0,0.0,,,,,
6000,2.651642,,1.83847773e-04,265.637947,7975.338305,49152,294961152,0.0,,0.0,0.0,0.0,,,,,
6000,,2.691351,1.83847773e-04,,7975.338305,49152,294961152,0.0,,0.0,0.0,0.0,,,,,
6100,,2.563723,1.81115184e-04,,8107.993611,49152,299876352,0.0,,0.0,0.0,0.0,,,,,
6200,2.609413,,1.78411970e-04,265.830717,8241.169022,49152,304791552,0.0,,0.0,0.0,0.0,,,,,
6200,,2.592203,1.78411970e-04,,8241.169022,49152,304791552,0.0,,0.0,0.0,0.0,,,,,
6300,,2.615029,1.75740879e-04,,8374.006855,49152,309706752,0.0,,0.0,0.0,0.0,,,,,
6400,2.613382,,1.73104629e-04,265.992667,8507.161688,49152,314621952,0.0,,0.0,0.0,0.0,,,,,
6400,,2.608050,1.73104629e-04,,8507.161688,49152,314621952,0.0,,0.0,0.0,0.0,,,,,
6500,,2.629248,1.70505900e-04,,8639.022356,49152,319537152,0.0,,0.0,0.0,0.0,,,,,
6600,2.673563,,1.67947334e-04,264.429529,8771.591218,49152,324452352,0.0,,0.0,0.0,0.0,,,,,
6600,,2.620242,1.67947334e-04,,8771.591218,49152,324452352,0.0,,0.0,0.0,0.0,,,,,
6700,,2.641883,1.65431534e-04,,8904.238008,49152,329367552,0.0,,0.0,0.0,0.0,,,,,
6800,2.584875,,1.62961058e-04,265.192062,9036.783281,49152,334282752,0.0,,0.0,0.0,0.0,,,,,
6800,,2.606090,1.62961058e-04,,9036.783281,49152,334282752,0.0,,0.0,0.0,0.0,,,,,
6900,,2.601542,1.60538419e-04,,9169.549190,49152,339197952,0.0,,0.0,0.0,0.0,,,,,
7000,2.563904,,1.58166080e-04,264.566047,9301.349328,49152,344113152,0.0,,0.0,0.0,0.0,,,,,
7000,,2.590898,1.58166080e-04,,9301.349328,49152,344113152,0.0,,0.0,0.0,0.0,,,,,
7100,,2.570247,1.55846454e-04,,9433.992888,49152,349028352,0.0,,0.0,0.0,0.0,,,,,
7200,2.551253,,1.53581900e-04,265.388408,9566.737736,49152,353943552,0.0,,0.0,0.0,0.0,,,,,
7200,,2.610621,1.53581900e-04,,9566.737736,49152,353943552,0.0,,0.0,0.0,0.0,,,,,
7300,,2.583251,1.51374720e-04,,9699.551266,49152,358858752,0.0,,0.0,0.0,0.0,,,,,
7400,2.565373,,1.49227160e-04,264.782636,9831.520372,49152,363773952,0.0,,0.0,0.0,0.0,,,,,
7400,,2.581280,1.49227160e-04,,9831.520372,49152,363773952,0.0,,0.0,0.0,0.0,,,,,
7500,,2.597796,1.47141403e-04,,9963.561064,49152,368689152,0.0,,0.0,0.0,0.0,,,,,
7600,2.601558,,1.45119571e-04,264.197191,10095.717563,49152,373604352,0.0,,0.0,0.0,0.0,,,,,
7600,,2.555588,1.45119571e-04,,10095.717563,49152,373604352,0.0,,0.0,0.0,0.0,,,,,
7700,,2.561561,1.43163719e-04,,10228.514991,49152,378519552,0.0,,0.0,0.0,0.0,,,,,
7800,2.538704,,1.41275837e-04,264.579279,10360.296842,49152,383434752,0.0,,0.0,0.0,0.0,,,,,
7800,,2.545787,1.41275837e-04,,10360.296842,49152,383434752,0.0,,0.0,0.0,0.0,,,,,
7900,,2.545315,1.39457844e-04,,10492.902294,49152,388349952,0.0,,0.0,0.0,0.0,,,,,
8000,2.553103,,1.37711589e-04,265.371537,10625.668379,49152,393265152,0.0,,0.0,0.0,0.0,,,,,
8000,,2.573859,1.37711589e-04,,10625.668379,49152,393265152,0.0,,0.0,0.0,0.0,,,,,
8100,,2.558624,1.36038849e-04,,10757.861449,49152,398180352,0.0,,0.0,0.0,0.0,,,,,
8200,2.535011,,1.34441324e-04,264.883270,10890.551649,49152,403095552,0.0,,0.0,0.0,0.0,,,,,
8200,,2.562423,1.34441324e-04,,10890.551649,49152,403095552,0.0,,0.0,0.0,0.0,,,,,
8300,,2.551731,1.32920639e-04,,11022.437213,49152,408010752,0.0,,0.0,0.0,0.0,,,,,
8400,2.564691,,1.31478340e-04,264.600499,11155.152148,49152,412925952,0.0,,0.0,0.0,0.0,,,,,
8400,,2.472066,1.31478340e-04,,11155.152148,49152,412925952,0.0,,0.0,0.0,0.0,,,,,
8500,,2.578413,1.30115894e-04,,11288.001562,49152,417841152,0.0,,0.0,0.0,0.0,,,,,
8600,2.556483,,1.28834687e-04,265.563865,11420.716014,49152,422756352,0.0,,0.0,0.0,0.0,,,,,
8600,,2.541580,1.28834687e-04,,11420.716014,49152,422756352,0.0,,0.0,0.0,0.0,,,,,
8700,,2.541354,1.27636021e-04,,11552.987201,49152,427671552,0.0,,0.0,0.0,0.0,,,,,
8800,2.488093,,1.26521116e-04,264.954799,11685.670813,49152,432586752,0.0,,0.0,0.0,0.0,,,,,
8800,,2.522982,1.26521116e-04,,11685.670813,49152,432586752,0.0,,0.0,0.0,0.0,,,,,
8900,,2.487314,1.25491106e-04,,11818.520376,49152,437501952,0.0,,0.0,0.0,0.0,,,,,
9000,2.444895,,1.24547037e-04,265.139645,11950.810458,49152,442417152,0.0,,0.0,0.0,0.0,,,,,
9000,,2.505503,1.24547037e-04,,11950.810458,49152,442417152,0.0,,0.0,0.0,0.0,,,,,
9100,,2.454622,1.23689870e-04,,12083.373015,49152,447332352,0.0,,0.0,0.0,0.0,,,,,
9200,2.500420,,1.22920477e-04,265.277797,12216.088262,49152,452247552,0.0,,0.0,0.0,0.0,,,,,
9200,,2.498238,1.22920477e-04,,12216.088262,49152,452247552,0.0,,0.0,0.0,0.0,,,,,
9300,,2.481589,1.22239640e-04,,12350.016780,49152,457162752,0.0,,0.0,0.0,0.0,,,,,
9400,2.459335,,1.21648051e-04,266.171339,12482.259601,49152,462077952,0.0,,0.0,0.0,0.0,,,,,
9400,,2.521912,1.21648051e-04,,12482.259601,49152,462077952,0.0,,0.0,0.0,0.0,,,,,
9500,,2.469841,1.21146312e-04,,12614.922148,49152,466993152,0.0,,0.0,0.0,0.0,,,,,
9600,2.556096,,1.20734934e-04,264.710129,12746.969730,49152,471908352,0.0,,0.0,0.0,0.0,,,,,
9600,,2.479864,1.20734934e-04,,12746.969730,49152,471908352,0.0,,0.0,0.0,0.0,,,,,
9700,,2.516096,1.20414335e-04,,12879.871418,49152,476823552,0.0,,0.0,0.0,0.0,,,,,
9800,2.505428,,1.20184840e-04,265.582874,13012.552604,49152,481738752,0.0,,0.0,0.0,0.0,,,,,
9800,,2.515851,1.20184840e-04,,13012.552604,49152,481738752,0.0,,0.0,0.0,0.0,,,,,
9900,,2.461323,1.20046683e-04,,13145.030226,49152,486653952,0.0,,0.0,0.0,0.0,,,,,
10000,2.436849,,1.20000005e-04,265.168794,13277.721398,49152,491569152,0.0,,0.0,0.0,0.0,,,,,
10000,,2.530390,1.20000005e-04,,13277.721398,49152,491569152,0.0,,0.0,0.0,0.0,,,,,
